Córrego;Altitude;Profundidade;Largura;Velocidade;Oxigênio;pH;Temperatura;Integridade Ambiental
#12;0.828247303;-1.038843504;-0.462495936;-1.116407091;-1.137526423;-0.293234576;-1.650965394;-0.581620055
#12;0.828247303;-0.767005844;-0.077772949;-0.891585989;-1.137526423;-0.293234576;-1.650965394;-0.581620055
#12;0.828247303;-1.077677455;0.711921606;-1.153877275;-1.137526423;-0.293234576;-1.650965394;-0.581620055
#12;0.828247303;-1.155345358;-0.006902924;-1.168865348;-1.137526423;-0.293234576;-1.650965394;-0.581620055
#12;0.828247303;-0.611670038;-0.42199878;-0.70423507;-1.137526423;-0.293234576;-1.650965394;-0.581620055
#12;0.828247303;-0.844673747;-0.624484563;-0.891585989;-1.137526423;-0.293234576;-1.650965394;-0.581620055
#12;0.828247303;-0.223330524;0.823288786;-0.329533234;-1.137526423;-0.293234576;-1.650965394;-0.581620055
#12;0.828247303;-0.223330524;0.165209991;-0.367003417;-1.137526423;-0.293234576;-1.650965394;-0.581620055
#12;0.828247303;-1.310681164;0.630927292;-1.341228193;-1.137526423;-0.293234576;-1.650965394;-0.581620055
#12;0.828247303;1.407695435;1.096644594;1.206744297;-1.137526423;-0.293234576;-1.650965394;-0.581620055
#12;0.828247303;-0.883507698;0.408192931;-0.989008466;-0.257830792;0.901424809;-1.464893475;-0.581620055
#13;1.046686152;-1.388349067;-1.059828997;-1.483614891;-1.911658579;0.901424809;0.2097538;0.061448802
#13;1.046686152;-1.233013261;-1.515422009;-1.341228193;-1.911658579;0.901424809;0.2097538;0.061448802
#13;1.046686152;0.514514553;-0.756100322;0.322447962;-1.911658579;0.901424809;0.2097538;0.061448802
#13;1.046686152;-1.19417931;-0.958586105;-1.281275899;-1.911658579;0.901424809;0.2097538;0.061448802
#13;1.046686152;-1.271847212;-1.302811937;-1.341228193;-1.911658579;0.901424809;0.2097538;0.061448802
#13;1.046686152;-0.92234165;-0.958586105;-0.966526356;-0.539333394;0.901424809;0.023681881;0.061448802
#13;1.046686152;-1.310681164;-1.221817623;-1.41616856;-0.539333394;0.901424809;0.023681881;0.061448802
#13;1.046686152;-1.000009552;-0.452371647;-1.093924981;-0.539333394;0.901424809;0.023681881;0.061448802
#13;1.046686152;-0.300998427;-0.553614539;-0.441943785;-0.539333394;0.901424809;0.023681881;0.061448802
#13;1.046686152;-1.000009552;0.357571485;-1.101419017;-0.539333394;0.901424809;0.023681881;0.061448802
#13;1.046686152;-1.233013261;-0.148642973;-1.341228193;-2.404288132;0.901424809;2.256544914;0.061448802
#15;-0.027304856;0.242676893;0.66130016;0.719631909;1.184870043;-0.293234576;0.767969558;1.247553583
#15;-0.027304856;1.252359629;-0.280258732;1.319154848;1.184870043;-0.293234576;0.767969558;1.247553583
#15;-0.027304856;0.16500899;-0.604235985;0.195049338;1.184870043;-0.293234576;0.767969558;1.247553583
#15;-0.027304856;0.009673184;1.673729076;0.569751175;1.184870043;-0.293234576;0.767969558;1.247553583
#15;-0.027304856;1.019355921;0.256328594;1.54397595;1.184870043;-0.293234576;0.767969558;1.247553583
#15;-0.027304856;-0.37866633;1.218136064;-0.104712131;1.360809169;-1.487893961;-0.162390039;1.247553583
#15;-0.027304856;0.16500899;0.590430136;0.41987044;1.360809169;-1.487893961;-0.162390039;1.247553583
#15;-0.027304856;3.310559054;0.438565798;3.155193849;1.360809169;-1.487893961;-0.162390039;1.247553583
#15;-0.027304856;1.330027532;-0.756100322;1.618916318;1.360809169;-1.487893961;-0.162390039;1.247553583
#15;-0.027304856;0.70868431;-0.239761575;0.607221358;1.360809169;-1.487893961;-0.162390039;1.247553583
#15;-0.027304856;1.951370755;0.155085702;1.806267236;0.516301363;-1.487893961;-0.162390039;1.247553583
#16;-0.391369605;0.475680601;-0.65485743;0.344930073;-0.081891666;0.901424809;-0.720605797;-2.082114055
#16;-0.391369605;1.330027532;-1.059828997;1.169274114;-0.081891666;0.901424809;-0.720605797;-2.082114055
#16;-0.391369605;0.359178747;-0.604235985;0.382400256;-0.081891666;0.901424809;-0.720605797;-2.082114055
#16;-0.391369605;0.514514553;-0.857343214;0.532280991;-0.081891666;0.901424809;-0.720605797;-2.082114055
#16;-0.391369605;-0.339832378;-0.553614539;-0.367003417;-0.081891666;0.901424809;-0.720605797;-2.082114055
#16;-0.391369605;0.087341087;-0.65485743;0.045168603;-0.398582093;0.901424809;-2.023109233;-2.082114055
#16;-0.391369605;1.252359629;-0.502993093;1.056863563;-0.398582093;0.901424809;-2.023109233;-2.082114055
#16;-0.391369605;0.087341087;-0.452371647;0.00769842;-0.398582093;0.901424809;-2.023109233;-2.082114055
#16;-0.391369605;0.514514553;-0.351128756;0.959441085;-0.398582093;0.901424809;-2.023109233;-2.082114055
#16;-0.391369605;0.087341087;-0.30050731;0.00769842;-0.398582093;0.901424809;-2.023109233;-2.082114055
#16;-0.391369605;0.242676893;-0.65485743;0.195049338;0.340362237;0.901424809;-1.278821555;-2.082114055
#17;-0.591605216;-0.223330524;1.471243292;-0.254592866;-0.152267317;0.901424809;0.2097538;-0.344399099
#17;-0.591605216;0.43684665;1.370000401;0.344930073;-0.152267317;0.901424809;0.2097538;-0.344399099
#17;-0.591605216;0.126175038;0.256328594;0.00769842;-0.152267317;0.901424809;0.2097538;-0.344399099
#17;-0.591605216;-0.145662621;0.560057268;0.045168603;-0.152267317;0.901424809;0.2097538;-0.344399099
#17;-0.591605216;0.281510844;0.256328594;0.269989705;-0.152267317;0.901424809;0.2097538;-0.344399099
#17;-0.591605216;1.174691727;0.965028835;1.13180393;-0.680084695;0.901424809;1.140113397;-0.344399099
#17;-0.591605216;0.70868431;0.813164497;0.569751175;-0.680084695;0.901424809;1.140113397;-0.344399099
#17;-0.591605216;2.339710269;0.560057268;2.106028706;-0.680084695;0.901424809;1.140113397;-0.344399099
#17;-0.591605216;-0.300998427;0.762543052;-0.142182315;-0.680084695;0.901424809;1.140113397;-0.344399099
#17;-0.591605216;0.009673184;0.155085702;-0.029771764;-0.680084695;0.901424809;1.140113397;-0.344399099
#17;-0.591605216;-0.883507698;1.572486184;-0.929056172;0.410737887;0.901424809;0.395825719;-0.344399099
#18;-0.773637591;0.398012698;0.458814377;0.307459889;0.973743091;0.901424809;1.698329155;1.251840708
#18;-0.773637591;-0.456334233;0.965028835;-0.554354336;0.973743091;0.901424809;1.698329155;1.251840708
#18;-0.773637591;-0.300998427;0.155085702;-0.179652499;0.973743091;0.901424809;1.698329155;1.251840708
#18;-0.773637591;-0.534002136;0.711921606;-0.329533234;0.973743091;0.901424809;1.698329155;1.251840708
#18;-0.773637591;0.16500899;0.66130016;0.344930073;0.973743091;0.901424809;1.698329155;1.251840708
#18;-0.773637591;-0.883507698;0.408192931;-0.816645621;1.044118742;0.901424809;0.2097538;1.251840708
#18;-0.773637591;0.126175038;-0.330880177;0.307459889;1.044118742;0.901424809;0.2097538;1.251840708
#18;-0.773637591;2.339710269;5.82468763;2.106028706;1.044118742;0.901424809;0.2097538;1.251840708
#18;-0.773637591;0.320344796;1.370000401;0.232519522;1.044118742;0.901424809;0.2097538;1.251840708
#18;-0.773637591;0.087341087;0.155085702;-0.029771764;1.044118742;0.901424809;0.2097538;1.251840708
#18;-0.773637591;-0.572836087;1.268757509;-0.554354336;-0.046703841;0.901424809;0.767969558;1.251840708
#20;-0.609808454;-1.077677455;-1.404054828;-1.153877275;-1.243089899;-1.487893961;0.395825719;-0.177201196
#20;-0.609808454;-0.223330524;-1.414179117;-0.389485527;-1.243089899;-1.487893961;0.395825719;-0.177201196
#20;-0.609808454;-1.271847212;-1.201569045;-1.378698377;-1.243089899;-1.487893961;0.395825719;-0.177201196
#20;-0.609808454;-0.689337941;-1.161071888;-0.801657548;-1.243089899;-1.487893961;0.395825719;-0.177201196
#20;-0.609808454;-0.37866633;-1.161071888;-0.539366262;-1.243089899;-1.487893961;0.395825719;-0.177201196
#20;-0.609808454;-1.19417931;-1.545794876;-1.303758009;-0.996775122;-1.487893961;0.581897639;-0.177201196
#20;-0.609808454;-0.805839795;-1.323060515;-0.951538283;-0.996775122;-1.487893961;0.581897639;-0.177201196
#20;-0.609808454;-0.883507698;-1.576167744;-1.041466724;-0.996775122;-1.487893961;0.581897639;-0.177201196
#20;-0.609808454;-1.000009552;-1.231941912;-1.131395164;-0.996775122;-1.487893961;0.581897639;-0.177201196
#20;-0.609808454;-1.19417931;-1.373681961;-1.303758009;-0.996775122;-1.487893961;0.581897639;-0.177201196
